product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
앱코 WKM01 무선 키보드 마우스 세트,앱코,53040,https://img.danuri.io/catalog-image/001/123/011/73e9b38e59b542e2ab817406673e4438.jpg?shrink=130:130&_v=20260610124740,멤브레인,무선,풀배열,0g,492,[키보드] 전용동글(리시버),정보없음,없음,,,,11123001,https://example.com/media,https://prod.danawa.com/info/?pcode=11123001&cate=112782,True
앱코 AK99 유무선 기계식 핑크,앱코,58000,https://img.danuri.io/catalog-image/662/787/068/da861466515c430db1cc4973ecbf69b2.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,99키,40g,989,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,저소음 피치축,,,68787662,https://example.com/media,https://prod.danawa.com/info/?pcode=68787662&cate=112782,True
앱코 AK99 유무선 기계식 핑크,앱코,58000,https://img.danuri.io/catalog-image/662/787/068/da861466515c430db1cc4973ecbf69b2.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,99키,40g,989,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,멜론축,,,68787644,https://example.com/media,https://prod.danawa.com/info/?pcode=68787644&cate=112782,True
COX CK01SL PBT 45GF,COX,38000,https://img.danuri.io/catalog-image/175/456/019/fc5cd87c9b404014bac6333541982db8.jpg?shrink=130:130&_v=20260610124900,기계식,유선,풀배열,45g,820,유선,한/영 정각,없음,,,GTMX,19456175,https://example.com/media,https://prod.danawa.com/info/?pcode=19456175&cate=112782,True
COX C108 유무선 기계식 화이트 그레이,COX,49900,https://img.danuri.io/catalog-image/090/556/079/ede9179654054d4f9a8d4cf78366cc34.jpg?shrink=130:130&_v=20260610124841,기계식,유선+무선,풀배열,40g,945,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,용과축,,오테뮤,79556090,https://example.com/media,https://prod.danawa.com/info/?pcode=79556090&cate=112782,True
COX C108 유무선 기계식 화이트 그레이,COX,59900,https://img.danuri.io/catalog-image/090/556/079/ede9179654054d4f9a8d4cf78366cc34.jpg?shrink=130:130&_v=20260610124841,기계식,유선+무선,풀배열,40g,945,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,허니축,,오테뮤,87544286,https://example.com/media,https://prod.danawa.com/info/?pcode=87544286&cate=112782,True
앱코 K660S V2 카일 광축 V2 게이밍 화이트,앱코,66000,https://img.danuri.io/catalog-image/589/991/075/5fd06204350c4ee08e85f22e4a5f7315.jpg?shrink=130:130&_v=20260610124736,무접점 광축,유선,풀배열,40g,1240,유선,한/영 정각,레인보우 백라이트,,,카일,75991589,https://example.com/media,https://prod.danawa.com/info/?pcode=75991589&cate=112782,True
COX CF87 유무선 기계식 네온 메카 바이올렛,COX,96000,https://img.danuri.io/catalog-image/964/976/096/3790d926865245c6965514d1b347de64.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,텐키리스,42g,1850,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,덕킹축,,,96976946,https://example.com/media,https://prod.danawa.com/info/?pcode=96976946&cate=112782,True
COX CF87 유무선 기계식 네온 메카 바이올렛,COX,96000,https://img.danuri.io/catalog-image/964/976/096/3790d926865245c6965514d1b347de64.jpg?shrink=130:130&_v=20260610124800,기계식,유선+무선,텐키리스,42g,1850,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,오렌지축,,,96976964,https://example.com/media,https://prod.danawa.com/info/?pcode=96976964&cate=112782,True
COX CK01 SAHARA HUANO 퀵스압 게이밍 기계식,COX,31550,https://img.danuri.io/catalog-image/948/862/028/06270376cab94c738e576ccb0eb9c63f.jpg?shrink=130:130&_v=20260610124736,기계식,유선,풀배열,60g,850,유선,정보없음,사이드 RGB LED,적축,,후아노,28862948,https://example.com/media,https://prod.danawa.com/info/?pcode=28862948&cate=112782,True
